,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
1113,Anthony,Figueroa,,Orthodox,,162.56,,61.235,11,8,1,20,FIG1409
1114,Edwin,Figueroa,El Feroz,Orthodox,,170.18,175.26,61.235,9,5,0,14,FIG2315
1115,Paulo,Filho,,Southpaw,,172.72,,83.915,23,6,3,32,FIG0510
1116,Jafel,Filho,Pastor,Orthodox,,170.18,172.72,56.699,15,3,0,18,FIG1778
1117,Andre,Fili,Touchy,Orthodox,,180.34,187.96,65.771,22,10,0,32,FIG0513
1118,Mirko,Filipovic,Cro Cop,Southpaw,,187.96,185.42000000000002,104.326,35,11,2,48,FIG0111
1119,Brady,Fink,,Orthodox,,182.88,,83.007,2,3,0,5,FIG3743
1120,Jesse,Finney,,,,182.88,,77.111,5,1,0,6,FIG3595
1121,Jan,Finney,Cuddles,Orthodox,,172.72,,61.235,11,12,0,23,FIG1111
1122,Torrez,Finney,The Punisher,,,,,83.915,5,0,0,5,FIG3742
1123,Luigi,Fioravanti,,Orthodox,,172.72,177.8,77.111,26,15,0,41,FIG0223
1124,Nick,Fiore,,Orthodox,,177.8,182.88,70.307,6,2,0,8,FIG3300
1125,Manon,Fiorot,The Beast,Orthodox,,170.18,165.1,56.699,11,1,0,12,FIG2733
1126,Luiz,Firmino,Buscape,Orthodox,,167.64000000000001,,69.853,19,8,0,27,FIG0774
1127,Spencer,Fisher,The King,Southpaw,,170.18,172.72,70.307,24,9,0,33,FIG0458
1128,Chris,Fishgold,,Orthodox,,172.72,172.72,65.771,18,4,1,23,FIG1110
1129,Bryanna,Fissori,,,,162.56,,65.771,2,4,0,6,FIG3569
1130,Jon,Fitch,,Orthodox,,182.88,187.96,77.111,30,7,1,38,FIG0277
1131,Isi,Fitikefu,Doxz,,,177.8,,92.986,6,0,0,6,FIG3570
1132,Rafael,Fiziev,Ataman,Switch,,172.72,180.34,70.307,12,2,0,14,FIG2316
1133,Colin,Fletcher,The Freakshow,Orthodox,,187.96,,70.307,14,8,0,22,FIG1249
1134,AJ,Fletcher,The Ghost,Switch,,177.8,170.18,77.111,10,2,0,12,FIG2574
1135,Jimmy,Flick,The Brick,Orthodox,,170.18,172.72,56.699,16,7,0,23,FIG1125
1136,Luke,Flores,,Southpaw,,182.88,185.42000000000002,70.307,9,2,0,11,FIG2777
1137,Ty,Flores,Big Medicine,Switch,,190.5,185.42000000000002,92.986,7,3,0,10,FIG3034
1138,Alejandro,Flores,El Gallito,Orthodox,,177.8,185.42000000000002,65.771,17,3,0,20,FIG1452
1139,Kenny,Florian,KenFlo,Southpaw,,177.8,187.96,65.771,14,6,0,20,FIG1507
1140,Darrius,Flowers,Beast Mode,Orthodox,,175.26,180.34,77.111,12,6,1,19,FIG1563
1141,Cody,Floyd,,,,,,,2,0,0,2,FIG3927
1142,Bobby,Flynn,,,,,,77.111,6,4,0,10,FIG3031
1143,Caros,Fodor,The Future,Orthodox,,175.26,187.96,70.307,11,6,0,17,FIG1896
1144,Mal,Foki,Twin Tiger,Orthodox,,170.18,,99.79,5,5,0,10,FIG3030
1145,Matt,Foki,Twin Tiger,Orthodox,,170.18,,99.79,5,4,0,9,FIG3165
1146,AJ,Fonseca,,,,162.56,,65.771,5,4,0,9,FIG3239
1147,Rob,Font,,Orthodox,,172.72,180.34,61.235,20,7,0,27,FIG0779
1148,Claudionor,Fontinelle,,Orthodox,,165.1,,83.915,10,15,1,26,FIG0866
1149,Jesse,Forbes,Kid Hercules,Southpaw,,187.96,190.5,83.915,15,5,0,20,FIG1503
1150,Sterling,Ford,,,,177.8,,70.307,15,7,0,22,FIG1247
1151,Codale,Ford,Crunch Time,,,175.26,,77.111,11,9,0,20,FIG1502
1152,Raheam,Forest,Rambo,,,,,77.111,7,1,0,8,FIG4104
1153,Jussier,Formiga,,Orthodox,,165.1,170.18,56.699,23,8,0,31,FIG0569
1154,Renee,Forte,,Orthodox,,170.18,180.34,70.307,8,4,0,12,FIG2610
1155,Brianna,Fortino,The Bull,Southpaw,,152.4,157.48,52.163,9,3,0,12,FIG2611
1156,Marcel,Fortuna,,Orthodox,,185.42,187.96,92.986,9,3,0,12,FIG2612
1157,Brian,Foster,The Foster Boy,Orthodox,,175.26,180.34,77.111,27,10,0,37,FIG0292
1158,Xavier,Foupa-Pokam,Professor X,Open Stance,,185.42,,83.915,32,22,0,54,FIG0063
1159,Mason,Fowler,,,,180.34,,77.111,2,0,0,2,FIG3944
1160,Brandon,Foxworth,,Orthodox,,180.34,,65.771,18,4,0,22,FIG1245
1161,Hermes,Franca,,Orthodox,,167.64000000000001,180.34,70.307,24,17,0,41,FIG0226
1162,Glaico,Franca Moreira,Nego,Orthodox,,182.88,195.58,70.307,15,5,0,20,FIG1497
1163,Francisco,France,Kiko,,,182.88,,92.986,13,5,1,19,FIG1557
1164,John,Franchi,,Orthodox,,167.64000000000001,170.18,65.771,6,2,0,8,FIG3287
1165,Rich,Franklin,Ace,Southpaw,,185.42,193.04,83.915,29,7,0,36,FIG0324
1166,Zoila,Frausto,Warrior Princess,Orthodox,,162.56,,61.235,13,5,0,18,FIG1649
1167,Stephanie,Frausto,Lil Bovy,Orthodox,,157.48000000000002,154.94,52.163,8,7,0,15,FIG2128
1168,Zane,Frazier,Nasty,Orthodox,,195.57999999999998,,113.398,4,11,0,15,FIG2129
1169,Gary,Frazier,,Orthodox,,182.88,,111.13,3,3,0,6,FIG3571
