,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
1910,Michael,Knaap,Hammer,Orthodox,,187.96,,99.79,18,22,3,43,FIG0202
1911,Kevin,Knabjian,,Orthodox,,177.8,,77.111,12,7,1,20,FIG1439
1912,Jason,Knight,The Kid,Orthodox,,177.8,180.34,65.771,20,5,0,25,FIG0931
1913,William,Knight,Knightmare,Orthodox,,177.8,185.42000000000002,92.986,11,5,0,16,FIG2016
1914,Josefine,Knutsson,Thunder,Orthodox,,160.02,152.4,52.163,7,0,0,7,FIG3530
1915,Isao,Kobayashi,,,,172.72,,65.771,21,4,4,29,FIG0680
1916,Kelly,Kobold,Blood Red,Orthodox,,167.64000000000001,,61.235,19,3,1,23,FIG1157
1917,Erik,Koch,Phoenix,Southpaw,,177.8,180.34,77.111,16,6,0,22,FIG1279
1918,Sokun,Koh,,,,185.42,,92.986,4,1,0,5,FIG3748
1919,Shingo,Kohara,,,,167.64000000000001,,61.235,1,0,0,1,FIG4069
1920,Brad,Kohler,,Orthodox,,175.26,,99.79,12,15,0,27,FIG0801
1921,Charlie,Kohler,,Orthodox,,175.26,,70.307,8,4,1,13,FIG2457
1922,Tsuyoshi,Kohsaka,TK,Orthodox,,180.34,,102.058,27,19,2,48,FIG0123
1923,Kaloyan,Kolev,,Orthodox,,187.96,185.42000000000002,92.986,10,1,0,11,FIG2826
1924,John,Kolosci,,Orthodox,,180.34,,83.915,15,9,0,24,FIG0974
1925,Yuki,Kondo,,Southpaw,,180.34,,83.007,60,33,9,102,FIG0007
1926,Syuri,Kondo,,Orthodox,,162.56,167.64000000000001,52.163,6,3,0,9,FIG3116
1927,Cheick,Kongo,,Orthodox,,193.04,208.28,108.862,27,10,2,39,FIG0271
1928,Andrei,Kopylov,,Orthodox,,187.96,,120.202,6,11,0,17,FIG1899
1929,Roman,Kopylov,,Southpaw,,182.88,190.5,83.915,12,2,0,14,FIG2564
1930,Bruno,Korea,,,,167.64000000000001,165.1,61.235,7,3,0,10,FIG2959
1931,Andrey,Koreshkov,Spartan,,,182.88,,77.111,19,2,0,21,FIG1367
1932,Josh,Koscheck,,Orthodox,,177.8,185.42000000000002,77.111,17,11,0,28,FIG0734
1933,Steven,Koslow,Obi Won Shinobi The Pillow,Switch,,170.18,175.26,56.699,6,1,0,7,FIG3420
1934,Naoyuki,Kotani,,Southpaw,,172.72,167.64000000000001,70.307,34,14,7,55,FIG0059
1935,Ilya,Kotau,,,,,,77.111,1,2,0,3,FIG3914
1936,Iouri,Kotchkine,,Orthodox,,187.96,,106.594,7,4,1,12,FIG2627
1937,Matt,Kovacs,300,Orthodox,,182.88,,110.676,12,16,0,28,FIG0724
1938,Marcus,Kowal,,,,,,61.235,3,1,1,5,FIG3747
1939,Karolina,Kowalkiewicz,,Orthodox,,160.02,162.56,52.163,15,7,0,22,FIG1262
1940,Steve,Kozola,,,,,,70.307,8,0,0,8,FIG3370
1941,Derrick,Krantz,D-Rock,Orthodox,,177.8,182.88,77.111,22,12,0,34,FIG0393
1942,James,Krause,The,Orthodox,,187.96,185.42000000000002,77.111,28,9,0,37,FIG0297
1943,Pascal,Krauss,Panzer,Orthodox,,185.42,,77.111,11,2,0,13,FIG2443
1944,Rene,Kronvold,,Orthodox,,172.72,,77.111,5,1,0,6,FIG3524
1945,Kaynan,Kruschewsky,Bahia,Orthodox,,182.88,185.42000000000002,70.307,14,1,0,15,FIG2238
1946,Jorgen,Kruth,The Last Viking,,,187.96,,92.986,5,0,0,5,FIG3744
1947,Nikita,Krylov,The Miner,Orthodox,,190.5,195.58,92.986,30,9,0,39,FIG0274
1948,Mariusz,Ksiazkiewicz,The Iron Pol,Southpaw,,190.5,190.5,83.915,8,1,0,9,FIG3157
1949,Junya,Kudo,,Orthodox,,,,61.235,10,7,2,19,FIG1533
1950,John,Kuhner,,,,,,77.111,1,2,0,3,FIG3861
1951,Michael,Kuiper,,Orthodox,,182.88,185.42000000000002,83.915,15,5,0,20,FIG1416
1952,Anton,Kuivanen,,Orthodox,,172.72,182.88,70.307,24,10,0,34,FIG0407
1953,Maiju,Kujala,,,,,,61.235,6,3,0,9,FIG3160
1954,Sumit,Kumar,The Indian Kid,Orthodox,,165.1,167.64000000000001,56.699,8,1,0,9,FIG3161
1955,Aleksei,Kunchenko,,Orthodox,,172.72,177.8,77.111,20,2,0,22,FIG1291
1956,Rizvan,Kuniev,,Orthodox,,193.04,193.04,108.862,11,2,1,14,FIG2382
1957,Keigo,Kunihara,,Orthodox,,182.88,,106.594,3,2,0,5,FIG3736
1958,Kiichi,Kunimoto,Strasser,Orthodox,,177.8,180.34,77.111,18,7,2,27,FIG0814
1959,Leo,Kuntz,The Lion,Orthodox,,177.8,,70.307,18,4,1,23,FIG1163
1960,Korey,Kuppe,,Switch,,195.57999999999998,195.58,77.111,8,4,0,12,FIG2684
1961,Ramazan,Kuramagomedov,,Orthodox,,185.42,185.42000000000002,77.111,8,0,0,8,FIG3313
1962,Tsuyoshi,Kurihara,,Orthodox,,177.8,,83.915,10,8,2,20,FIG1417
1963,Eldari,Kurtanidze,,Orthodox,,167.64000000000001,,106.594,0,1,0,1,FIG3994
1964,Kyle,Kurtz,,,,,,77.111,7,5,0,12,FIG2629
1965,Guram,Kutateladze,Georgian Viking,Orthodox,,180.34,182.88,70.307,12,4,0,16,FIG2036
1966,Lina,Kvokov,,Orthodox,,175.26,,61.235,0,3,0,3,FIG3859
1967,Kaleo,Kwan,Leo Boy,,,170.18,,70.307,11,16,0,27,FIG0767
1968,Jarrod,Kwitty,,,,172.72,,83.915,2,2,0,4,FIG3788
1969,Mike,Kyle,MAK,Orthodox,,193.04,195.58,92.986,22,14,1,37,FIG0298
1970,Achmed,Labasanov,,Orthodox,,190.5,,97.522,7,4,0,11,FIG2908
1971,Josh,LaBerge,,,,177.8,,65.771,11,6,0,17,FIG1828
1972,Jeremiah,Labiano,The Kid,,,177.8,,61.235,11,5,0,16,FIG2001
1973,Daniel,Lacerda,Miojo,Switch,,167.64000000000001,177.8,56.699,11,5,0,16,FIG1931
1974,Luan,Lacerda,,Orthodox,,170.18,180.34,61.235,12,3,0,15,FIG2205
1975,Kemran,Lachinov,,,,,,77.111,3,2,0,5,FIG3741
1976,Aspen,Ladd,,Orthodox,,167.64000000000001,167.64000000000001,61.235,9,3,0,12,FIG2683
1977,Ryan,LaFlare,,Southpaw,,185.42,187.96,77.111,14,3,0,17,FIG1812
1978,Corinne,Laframboise,,,,,,56.699,8,4,0,12,FIG2681
1979,Ben,Lagman,Bad News,,,187.96,,83.915,6,5,0,11,FIG2909
1980,Noad,Lahat,Neo,Orthodox,,175.26,175.26,65.771,11,2,0,13,FIG2451
1981,Tina,Lahdemaki,Jelly Bean,Orthodox,,157.48000000000002,,52.163,5,1,0,6,FIG3555
1982,Yohan,Lainesse,White Lion,Orthodox,,185.42,193.04,77.111,9,2,0,11,FIG2911
1983,Tim,Lajcik,The Bohemian,Orthodox,,185.42,,102.058,7,6,1,14,FIG2380
1984,Todd,Lally,,Orthodox,,170.18,,65.771,2,1,0,3,FIG3879
1985,Sean,Lally,The Unpredictable One,Orthodox,,182.88,,77.111,7,3,0,10,FIG3007
1986,Ricardo,Lamas,The Bully,Orthodox,,172.72,180.34,65.771,20,8,0,28,FIG0710
1987,Jason,Lambert,The Punisher,Orthodox,,190.5,190.5,83.915,26,13,0,39,FIG0269
1988,Jose,Landi-Jons,Pele,Orthodox,,180.34,,77.111,29,16,0,45,FIG0157
1989,Nate,Landwehr,The Train,Orthodox,,175.26,182.88,65.771,17,5,0,22,FIG1299
1990,Austen,Lane,,Orthodox,,198.12,203.2,111.13,12,4,0,16,FIG1971
1991,Aaron,Lanfranco,,,,,,70.307,5,1,0,6,FIG3552
1992,Jeremy,Lang,,Southpaw,,180.34,,92.986,21,2,0,23,FIG1165
1993,Lionel,Lanham,,,,,,92.986,5,1,0,6,FIG3551
1994,Lina,Lansberg,Elbow Queen,Orthodox,,170.18,165.1,61.235,10,8,0,18,FIG1691
1995,Taylor,Lapilus,Double Impact,Southpaw,,167.64000000000001,185.42000000000002,61.235,19,3,0,22,FIG1208
1996,Chad,Laprise,The Disciple,Orthodox,,177.8,180.34,77.111,13,4,0,17,FIG1874
1997,Anthony,Lapsley,The Recipe,Southpaw,,175.26,,77.111,23,7,0,30,FIG0578
1998,TJ,Laramie,,Orthodox,,167.64000000000001,167.64000000000001,65.771,12,5,0,17,FIG1878
1999,Icho,Larenas,,Orthodox,,190.5,,106.594,6,5,0,11,FIG2925
2000,Lorenz,Larkin,The Monsoon,Orthodox,,180.34,182.88,77.111,18,6,0,24,FIG0997
2001,Jeremy,Larsen,,Orthodox,,177.8,177.8,65.771,8,5,0,13,FIG2535
2002,Brock,Larson,,Southpaw,,180.34,180.34,77.111,42,10,0,52,FIG0089
2003,Ryan,Larson,,,,,,77.111,6,2,0,8,FIG3290
2004,Bobby,Lashley,,Orthodox,,190.5,198.12,115.666,15,2,0,17,FIG1809
2005,Ilir,Latifi,The Sledgehammer,Orthodox,,177.8,185.42000000000002,104.326,17,9,0,26,FIG0836
2006,Sione,Latu,,,,182.88,,97.522,1,0,0,1,FIG4033
2007,Jenel,Lausa,,Orthodox,,165.1,172.72,56.699,7,5,0,12,FIG2699
2008,Joe,Lauzon,,Orthodox,,177.8,180.34,70.307,28,16,0,44,FIG0178
2009,Dan,Lauzon,The Upgrade,Orthodox,,177.8,,70.307,17,6,0,23,FIG1079
2010,Sandra,Lavado,Peruvian Zombie,Orthodox,,170.18,167.64000000000001,52.163,10,3,0,13,FIG2496
2011,Chatt,Lavender,,,,172.72,,77.111,9,7,0,16,FIG1933
2012,Muhammed,Lawal,King Mo,Southpaw,,182.88,198.12,92.986,21,6,0,27,FIG0830
2013,Robbie,Lawler,Ruthless,Southpaw,,180.34,187.96,77.111,30,16,0,46,FIG0150
2014,Tom,Lawlor,Filthy,Southpaw,,182.88,187.96,92.986,10,6,0,16,FIG1934
2015,Justin,Lawrence,The American Kidd,Orthodox,,172.72,170.18,65.771,10,4,0,14,FIG2365
2016,Lance,Lawrence,,Orthodox,,185.42,187.96,65.771,4,1,0,5,FIG3728
2017,Ronnie,Lawrence,The Heat,Switch,,172.72,172.72,61.235,8,2,0,10,FIG2986
2018,Eric,Lawson,,Orthodox,,182.88,,83.915,9,5,0,14,FIG2392
2019,Jimmy,Lawson,Greedy,Orthodox,,182.88,195.58,120.202,4,2,0,6,FIG3545
2020,Valmir,Lazaro,Bidu,Orthodox,,182.88,185.42000000000002,70.307,15,5,0,20,FIG1449
2021,Zviad,Lazishvili,,Orthodox,,167.64000000000001,175.26,61.235,13,1,0,14,FIG2395
2022,Mounir,Lazzez,The Sniper,Orthodox,,185.42,193.04,77.111,11,3,0,14,FIG2399
2023,Cung,Le,,Southpaw,,175.26,177.8,83.915,9,3,0,12,FIG2669
2024,Thanh,Le,,Orthodox,,175.26,187.96,65.771,6,1,0,7,FIG3440
2025,Jordan,Leavitt,The Monkey King,Southpaw,,175.26,180.34,70.307,11,2,0,13,FIG2424
2026,Jerome,LeBanner,,Southpaw,,190.5,,120.202,3,2,0,5,FIG3754
2027,Chris,Leben,The Crippler,Southpaw,,180.34,185.42000000000002,83.915,22,11,0,33,FIG0431
2028,Mickael,Lebout,Ragnar,Orthodox,,180.34,185.42000000000002,70.307,16,7,1,24,FIG1018
2029,Stephen,Ledbetter,,Orthodox,,175.26,,65.771,8,3,0,11,FIG2893
2030,Justin,Ledet,El Blanco,Orthodox,,193.04,203.2,92.986,9,4,0,13,FIG2476
2031,James,Lee,,Southpaw,,180.34,,92.986,15,3,0,18,FIG1681
2032,David,Lee,,Orthodox,,177.8,,70.307,12,10,0,22,FIG1265
2033,Jackie,Lee,,,,,,,0,1,0,1,FIG4025
2034,Eun Soo,Lee,,Orthodox,,185.42,,97.522,17,4,0,21,FIG1363
2035,Tae Hyun,Lee,,Orthodox,,198.12,,133.81,1,2,0,3,FIG3874
2036,Tommy,Lee,,Orthodox,,170.18,,65.771,25,6,0,31,FIG0544
2037,Matt,Lee,,Orthodox,,180.34,,70.307,14,10,1,25,FIG0930
2038,Imani,Lee,,Orthodox,,,,,2,4,0,6,FIG3546
2039,Vaughan,Lee,,Orthodox,,167.64000000000001,167.64000000000001,56.699,14,13,1,28,FIG0725
2040,Kevin,Lee,The Motown Phenom,Orthodox,,175.26,195.58,77.111,18,8,0,26,FIG0843
2041,Rocky,Lee,,Orthodox,,175.26,,65.771,3,2,0,5,FIG3739
2042,Andrea,Lee,KGB,Orthodox,,167.64000000000001,175.26,56.699,13,8,0,21,FIG1359
2043,JeongYeong,Lee,Korean Tiger,Orthodox,,177.8,185.42000000000002,65.771,10,1,0,11,FIG2828
2044,JungHyun,Lee,The Phenom,Orthodox,,165.1,165.1,56.699,8,1,0,9,FIG3216
2045,ChangHo,Lee,,Orthodox,,172.72,175.26,61.235,9,1,0,10,FIG3018
2046,Ricky,Legere Jr.,IE Bad Boy,,,172.72,,77.111,14,4,0,18,FIG1679
2047,Sherron,Leggett,Rob Roy,Southpaw,,172.72,,70.307,21,6,0,27,FIG0811
2048,Cheyden,Leialoha,Steadfast,Orthodox,,172.72,185.42000000000002,61.235,6,0,0,6,FIG3550
2049,Claudia,Leite,,Orthodox,,160.02,162.56,61.235,8,3,0,11,FIG2840
2050,Thales,Leites,,Orthodox,,185.42,198.12,83.915,28,9,0,37,FIG0317
2051,Stefan,Leko,Blitz,Orthodox,,187.96,,97.522,0,3,0,3,FIG3878
2052,Gabe,Lemley,,Orthodox,,172.72,,70.307,13,9,0,22,FIG1292
2053,Amanda,Lemos,,Southpaw,,162.56,165.1,52.163,13,3,1,17,FIG1867
2054,Giacomo,Lemos,,Orthodox,,190.5,190.5,112.037,6,0,0,6,FIG3566
2055,Christophe,Leninger,,Southpaw,,182.88,,90.718,3,4,0,7,FIG3401
2056,Jesse,Lennox,The Ox,Orthodox,,175.26,182.88,77.111,14,4,0,18,FIG1708
2057,Jean Francois,Lenogue,,Orthodox,,182.88,,83.915,16,17,3,36,FIG0321
2058,Nik,Lentz,The Carny,Orthodox,,172.72,172.72,65.771,30,12,2,44,FIG0186
2059,Alberta Cerra,Leon,,,,172.72,,107.955,0,1,0,1,FIG4005
2060,Victoria,Leonardo,Fury,Orthodox,,165.1,162.56,56.699,9,6,0,15,FIG2192
2061,Anthony,Leone,,Orthodox,,167.64000000000001,,61.235,15,8,0,23,FIG1095
2062,Chad,Leonhardt,The Boss,,,182.88,,77.111,9,4,0,13,FIG2513
2063,Kimo,Leopoldo,,Orthodox,,190.5,,106.594,10,7,1,18,FIG1738
2064,Michael,Lerma,,,,,,,0,1,0,1,FIG4003
2065,Lukasz,Les,,,,,,77.111,8,3,0,11,FIG2834
2066,Brock,Lesnar,,Orthodox,,190.5,205.74,120.202,5,3,0,8,FIG3296
2067,Frank,Lester,,Orthodox,,180.34,,77.111,11,6,0,17,FIG1898
2068,Valerie,Letourneau,Trouble,Orthodox,,170.18,172.72,52.163,8,6,0,14,FIG2285
2069,Leah,Letson,Nidas,,,170.18,180.34,65.771,5,3,0,8,FIG3298
2070,Justin,Levens,The Executioner,Orthodox,,180.34,,83.915,10,7,0,17,FIG1893
2071,Marcus,LeVesseur,The Prospect,Southpaw,,175.26,177.8,70.307,22,7,0,29,FIG0652
2072,David,Levicki,,,,195.57999999999998,,124.738,1,3,0,4,FIG3850
2073,Kyle,Levinton,,,,,,,0,3,0,3,FIG3851
2074,Natan,Levy,Lethal,Southpaw,,175.26,180.34,70.307,8,1,0,9,FIG3242
2075,John,Lewis,,Southpaw,,182.88,,70.307,3,4,3,10,FIG2998
2076,Derrick,Lewis,The Black Beast,Orthodox,,190.5,200.66,117.934,27,11,0,38,FIG0280
2077,Bevon,Lewis,,Orthodox,,190.5,200.66,83.915,7,3,0,10,FIG3021
2078,Brandon,Lewis,,Orthodox,,162.56,177.8,61.235,6,2,0,8,FIG3299
2079,Malik,Lewis,Hard Knock,Orthodox,,182.88,190.5,70.307,6,2,0,8,FIG3391
2080,Chi,Lewis-Parry,Chopper,,,205.74,,110.223,7,0,1,8,FIG3352
2081,Li,Jingliang,The Leech,Orthodox,,182.88,180.34,77.111,19,8,0,27,FIG0825
2082,Liang,Na,The Dragon Girl,Orthodox,,165.1,170.18,56.699,19,7,0,26,FIG0841
2083,Jess,Liaudin,The Joker,Orthodox,,175.26,182.88,77.111,20,11,0,31,FIG0558
2084,Chuck,Liddell,The Iceman,Orthodox,,187.96,193.04,92.986,21,8,0,29,FIG0640
2085,Rodrigo,Lidio,Dynamis,Orthodox,,180.34,185.42000000000002,70.307,12,3,0,15,FIG2190
2086,Sam,Liera,,,,,,,12,10,0,22,FIG1274
2087,Zach,Light,,Orthodox,,172.72,,77.111,9,11,0,20,FIG1471
2088,Scott,Lighty,,,,187.96,,92.986,6,2,0,8,FIG3356
2089,Chris,Liguori,,Orthodox,,175.26,,83.915,15,10,0,25,FIG0965
2090,Donnie,Liles,,Orthodox,,175.26,,77.111,17,7,0,24,FIG1037
2091,Jae Suk,Lim,,Orthodox,,175.26,,77.111,17,6,0,23,FIG1090
2092,Hyun Gyu,Lim,The Ace,Orthodox,,190.5,195.58,77.111,13,7,1,21,FIG1347
2093,Juliana,Lima,Ju Thai,Orthodox,,165.1,165.1,52.163,9,5,0,14,FIG2258
2094,Dhiego,Lima,,Orthodox,,187.96,190.5,77.111,17,9,0,26,FIG0842
2095,Douglas,Lima,The Phenom,,,185.42,,77.111,29,6,0,35,FIG0369
2096,Mabelly,Lima,,Orthodox,,157.48000000000002,,61.235,7,1,0,8,FIG3294
2097,Andre,Lima,Mascote,,,,,56.699,6,0,0,6,FIG3547
2098,Miguel,Linares,,,,,,,2,4,0,6,FIG3522
2099,Emiliano,Linares,Golden Bull,Orthodox,,172.72,182.88,65.771,8,2,0,10,FIG2930
2100,Matt,Lindland,The Law,Southpaw,,182.88,187.96,83.915,22,9,0,31,FIG0532
2101,Jake,Lindsey,The Librarian,Switch,,180.34,,70.307,12,7,0,19,FIG1580
2102,John,Lineker,Hands of Stone,Orthodox,,160.02,170.18,61.235,31,9,0,40,FIG0240
2103,Austin,Lingo,Lights Out,Orthodox,,177.8,177.8,65.771,9,3,0,12,FIG2704
2104,Lucio,Linhares,,Orthodox,,187.96,,83.915,19,8,0,27,FIG0812
2105,Philipe,Lins,Monstro,Orthodox,,187.96,198.12,92.986,17,5,0,22,FIG1293
2106,Ariane,Lipski,Queen of Violence,Orthodox,,167.64000000000001,170.18,56.699,16,8,0,24,FIG0984
2107,Tainara,Lisboa,Thai Panther,Orthodox,,170.18,170.18,61.235,6,2,0,8,FIG3363
2108,Dean,Lister,The Boogeyman,Orthodox,,185.42,190.5,83.915,13,7,0,20,FIG1455
2109,Wesley,Little,,,,193.04,,92.986,4,8,0,12,FIG2736
2110,James,Llontop,Goku,Orthodox,,182.88,185.42000000000002,70.307,14,2,0,16,FIG2188
2111,Abner,Lloveras,Skullman,,,180.34,,70.307,20,9,1,30,FIG0574
2112,Brian,Lo-A-Njoe,,Orthodox,,170.18,,70.307,6,10,3,19,FIG1575
2113,John,Lober,The Machine,Orthodox,,180.34,,90.265,5,9,4,18,FIG1729
2114,Artem,Lobov,The Russian Hammer,Southpaw,,175.26,165.1,65.771,13,15,1,29,FIG0682
2115,Dylan,Lockard,,Orthodox,,175.26,182.88,65.771,6,2,0,8,FIG3357
2116,Sean,Loeffler,The Destroyer,Orthodox,,190.5,,83.915,31,5,0,36,FIG0328
2117,Christian,Lohsen,Hollywood,Southpaw,,187.96,195.58,70.307,4,2,0,6,FIG3535
2118,David,Loiseau,The Crow,Orthodox,,182.88,193.04,83.915,23,11,0,34,FIG0413
2119,Hector,Lombard,,Southpaw,,175.26,180.34,83.915,34,10,1,45,FIG0164
2120,Michael,Lombardo,The Don,Orthodox,,182.88,182.88,77.111,11,2,0,13,FIG2431
2121,Rocky,Long,,,,,,65.771,21,37,1,59,FIG0041
2122,Thomas,Longacre,,Orthodox,,175.26,,65.771,6,1,0,7,FIG3509
2123,Loma,Lookboonmee,,Orthodox,,154.94,154.94,52.163,8,3,0,11,FIG2877
2124,Ange,Loosa,The Last Ninja,Orthodox,,177.8,187.96,77.111,10,3,0,13,FIG2401
2125,Lucas,Lopes,,,,187.96,,83.915,29,19,0,48,FIG0113
2126,Dileno,Lopes,,,,165.1,,61.235,19,3,0,22,FIG1261
2127,Diego,Lopes,,Orthodox,,180.34,182.88,65.771,22,6,0,28,FIG0696
2128,Bruno,Lopes,Brunao,Orthodox,,187.96,190.5,92.986,11,1,0,12,FIG2719
2129,Ivan,Lopez,,Southpaw,,167.64000000000001,,61.235,14,3,1,18,FIG1723
2130,Steve,Lopez,,Orthodox,,180.34,,70.307,13,6,1,20,FIG1485
2131,Federico,Lopez,Kiko,Orthodox,,162.56,,63.049,10,6,0,16,FIG1918
2132,Jorge,Lopez,,Orthodox,,177.8,,77.111,11,5,0,16,FIG1953
2133,Christopher,Lopez,,,,177.8,,77.111,9,1,0,10,FIG2964
2134,Matthew,Lopez,,Southpaw,,170.18,175.26,61.235,10,4,0,14,FIG2341
2135,Benito,Lopez,Golden Boy,Switch,,177.8,185.42000000000002,61.235,10,2,0,12,FIG2722
2136,Gustavo,Lopez,,Orthodox,,165.1,170.18,61.235,12,6,1,19,FIG1520
2137,Brendan,Loughnane,,Switch,,177.8,177.8,65.771,17,3,0,20,FIG1496
2138,Nate,Loughran,,Orthodox,,187.96,,83.915,11,2,0,13,FIG2468
2139,Caolan,Loughran,The Don,Orthodox,,167.64000000000001,172.72,61.235,8,1,0,9,FIG3205
2140,Rashard,Lovelace,,,,,,70.307,4,1,0,5,FIG3746
2141,Ian,Loveland,The Barn Owl,Orthodox,,172.72,,65.771,18,10,0,28,FIG0691
2142,Jakob,Lovstad,The Striking Viking,Orthodox,,190.5,,92.986,11,4,0,15,FIG2187
2143,Waylon,Lowe,,Southpaw,,170.18,,65.771,16,7,0,23,FIG1097
2144,Brandon,Lowe,,,,,,70.307,2,1,0,3,FIG3916
2145,Joe,Lowry,,Orthodox,,180.34,185.42000000000002,70.307,9,2,0,11,FIG2867
2146,Lu,Kai,The Last Gladiator,Orthodox,,175.26,175.26,65.771,8,5,0,13,FIG2447
2147,Lu,Zhengyong,,,,,,56.699,12,7,0,19,FIG1531
2148,Robert,Lucarelli,,,,187.96,,111.13,0,1,0,1,FIG4000
2149,Matt,Lucas,Luke Duke,,,185.42,,92.986,15,3,0,18,FIG1716
2150,Cleber,Luciano,,,,167.64000000000001,,70.307,14,6,0,20,FIG1491
2151,Stephanie,Luciano,Rondinha,Orthodox,,167.64000000000001,165.1,52.163,5,1,0,6,FIG4108
2152,Iasmin,Lucindo,,Orthodox,,160.02,167.64000000000001,52.163,15,5,0,20,FIG1451
2153,Duane,Ludwig,Bang,Orthodox,,177.8,177.8,77.111,21,14,0,35,FIG0358
2154,Mike,Lullo,,Orthodox,,172.72,,65.771,8,3,0,11,FIG2863
2155,Dalcha,Lungiambula,Champion,Orthodox,,172.72,193.04,83.915,11,6,0,17,FIG1819
2156,Alexandru,Lungu,,Orthodox,,182.88,,174.633,14,4,0,18,FIG1714
2157,Vicente,Luque,The Silent Assassin,Orthodox,,180.34,190.5,77.111,22,9,1,32,FIG0514
2158,Thaddeus,Luster,,,,190.5,,95.254,0,1,0,1,FIG4006
2159,Travis,Lutter,The Serial Killer,Orthodox,,180.34,190.5,83.915,10,6,0,16,FIG2057
2160,Tucker,Lutz,Top Gun,Orthodox,,172.72,182.88,65.771,12,4,0,16,FIG2056
2161,Lv,Zhenhong,,Switch,,172.72,170.18,65.771,16,6,0,22,FIG1199
2162,Stevie,Lynch,,Orthodox,,177.8,,77.111,5,2,0,7,FIG3445
2163,Adam,Lynn,,Orthodox,,177.8,,70.307,17,10,0,27,FIG0817
2164,Chris,Lytle,Lights Out,Orthodox,,180.34,172.72,77.111,31,18,5,54,FIG0067
2165,Dong Hyun,Ma,Maestro,Orthodox,,180.34,177.8,70.307,16,11,3,30,FIG0597
2166,Pawan,Maan,,Orthodox,,170.18,177.8,70.307,7,3,1,11,FIG2868
2167,William,Macario,Patolino,Orthodox,,180.34,190.5,77.111,9,3,0,12,FIG2708
2168,Jason,MacDonald,The Athlete,Orthodox,,190.5,203.2,83.915,25,16,0,41,FIG0227
2169,Rob,MacDonald,Maximus,Orthodox,,190.5,198.12,92.986,5,4,0,9,FIG3208
2170,Rory,MacDonald,Red King,Orthodox,,182.88,193.04,77.111,19,4,0,23,FIG1093
2171,Ryan,MacDonald,Main Event,Switch,,180.34,180.34,61.235,10,2,0,12,FIG2742
2172,Clayton,MacFarlane,,,,,,77.111,4,1,0,5,FIG3749
2173,Ilima,Macfarlane,,,,162.56,,56.699,6,0,0,6,FIG3563
2174,Valesca,Machado,Tina Black,Orthodox,,162.56,160.02,52.163,8,3,0,11,FIG2876
2175,Caio,Machado,Bigfoot,Southpaw,,193.04,198.12,113.398,8,1,1,10,FIG3078
2176,Lyoto,Machida,The Dragon,Southpaw,,185.42,187.96,83.915,24,8,0,32,FIG0521
2177,War,Machine,,Orthodox,,180.34,,77.111,14,5,0,19,FIG1537
2178,Anthony,Macias,Mad Dog,Switch,,175.26,,83.915,26,18,0,44,FIG0180
2179,Pauline,Macias,PITA,Southpaw,,162.56,162.56,52.163,4,1,0,5,FIG3750
2180,Reza,Madadi,Mad Dog,Orthodox,,180.34,185.42000000000002,70.307,14,6,0,20,FIG1511
2181,Don,Madge,Magic Man,Southpaw,,182.88,182.88,70.307,9,3,1,13,FIG2421
2182,Ryan,Madigan,,Orthodox,,182.88,,77.111,5,3,0,8,FIG3340
2183,Victor,Madrigal,Periquito,,,,,61.235,12,3,0,15,FIG2229
2184,Jon,Madsen,,Orthodox,,182.88,182.88,108.862,8,2,0,10,FIG3042
2185,Mark,Madsen,The Olympian,Orthodox,,172.72,182.88,70.307,12,1,0,13,FIG2554
2186,Yoshiro,Maeda,,Southpaw,,170.18,172.72,63.049,35,16,5,56,FIG0056
2187,Leonardo,Mafra,Macarrao,Orthodox,,177.8,177.8,70.307,13,4,0,17,FIG1845
2188,Vinny,Magalhaes,Pezao,Orthodox,,190.5,190.5,92.986,14,9,0,23,FIG1088
2189,Vinicius,Magalhaes,Draculinho,,,,,65.771,2,1,0,3,FIG3906
2190,Caio,Magalhaes,Hellboy,Orthodox,,185.42,185.42000000000002,83.915,10,3,0,13,FIG2439
2191,Bernardo,Magalhaes,Trekko,Orthodox,,175.26,,70.307,13,4,0,17,FIG1841
2192,Eric,Magana,,,,,,,1,1,0,2,FIG3965
2193,Brandon,Magana,,Orthodox,,,,77.111,6,2,0,8,FIG3321
2194,Angela,Magana,Your Majesty,Orthodox,,154.94,165.1,52.163,11,9,0,20,FIG1465
2195,Neil,Magny,The Haitian Sensation,Orthodox,,190.5,203.2,77.111,28,12,0,40,FIG0234
2196,Raimond,Magomedaliev,,,,,,77.111,10,1,0,11,FIG2860
2197,Ibragim,Magomedov,,Orthodox,,182.88,,113.398,22,8,1,31,FIG0560
2198,Rashid,Magomedov,Highlander,Orthodox,,175.26,177.8,70.307,20,2,0,22,FIG1192
2199,Ruslan,Magomedov,Leopard,Orthodox,,190.5,198.12,109.769,14,1,0,15,FIG2227
2200,Abus,Magomedov,,Orthodox,,187.96,198.12,83.915,25,5,1,31,FIG0547
2201,Shara,Magomedov,Bullet,,,187.96,,77.111,11,0,0,11,FIG2830
2202,Zabit,Magomedsharipov,,Orthodox,,185.42,185.42000000000002,65.771,18,1,0,19,FIG1539
2203,John,Maguire,The One,Southpaw,,175.26,175.26,70.307,24,9,0,33,FIG0453
2204,Lolohea,Mahe,,,,,,,10,4,1,15,FIG2225
